,velocity
0,0.015566297253059603
1,0.04596668330273082
2,0.10671321179892887
3,0.025234598195437333
4,0.11189821338798522
5,0.09307288232273422
6,0.11606413080875327
7,0.045878124645484596
8,0.11783962108224334
9,0.010297814183201092
10,0.05487768856996083
11,0.08648585023036455
12,0.06256075193305609
13,0.1402459235445484
14,0.08952338009244205
15,0.0274169134529012
16,0.17561686394147044
17,0.12904730460470892
18,0.05230669439479863
19,0.027214627611950967
20,0.34920342211308075
21,0.041681501571333976
22,0.030575539910668813
23,0.048537893655479745
24,0.03766861383995623
25,0.5290903706635017
26,0.08664605034070594
27,0.10198733307508534
28,0.20278733538778954
29,0.12848654622045802
30,0.06570889864094051
31,0.2549739080686997
32,0.05334839644821857
33,0.04363016220906766
34,0.1225652889438502
35,0.20443945164710153
36,0.36579461476290964
37,0.08219213309636579
38,0.12427071417040504
39,0.263037897161731
40,0.02200988223764301
41,0.18077496674992027
42,0.17843345942633052
43,0.0930332749075026
44,0.195013403048703
45,0.181872332732301
46,0.02818007561730496
47,0.13738058497246336
48,0.2476298943637822
49,0.46041876365175805
50,0.05538115574476238
51,0.09276140228831259
52,0.11008407206274679
53,0.05342833835534039
54,0.02586420389271788
55,0.023669970613503215
56,0.04385927984664052
57,0.051277845657866035
58,0.25019168442659595
59,0.31727005299384325
60,0.03853993671941899
61,0.19745821854182283
62,0.21871220186153556
63,0.2731319589918631
64,0.2378648425353741
65,0.09113034049571392
66,0.11581569694346942
67,0.1842313591431502
68,0.1948260333588141
69,0.14816241355971835
70,0.11803126785499184
71,0.009126691742769368
72,0.17415371246604433
73,0.3181665912237029
74,0.056071687281310255
75,0.07813125788164338
76,0.15777302969950519
77,0.17558603091913008
78,0.11335739228624397
79,0.06345100902289556
80,0.032686706981096186
81,0.15965705386452073
82,0.132628115426599
83,0.056613543669347614
84,0.16375166739745065
85,0.12676782397758826
86,0.10611293576572052
87,0.0760605525490782
88,0.07262877780604912
89,0.14492343457334494
90,0.1599199205654309
91,0.28650442341278576
92,0.06353008424660639
93,0.18440468569786675
94,0.17884928038618814
95,0.10999671227616326
96,0.039164275181456
97,0.2497796460677322
98,0.29999653587309516
99,0.21512697976696366
